,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
1951,https://www.booli.se/annons/3203062,3390000,47083,3,72,2018-08-03,3747,520,0,2014,Solna
1952,https://www.booli.se/annons/3069860,5150000,69595,3,74,2018-08-02,3785,417,4,1938,Solna
1953,https://www.booli.se/annons/2375431,3700000,56489,2,66,2018-08-02,3200,700,1,2014,Solna
1954,https://www.booli.se/annons/3178544,3895000,48688,3,80,2018-08-01,4159,517,4,2015,Solna
1955,https://www.booli.se/annons/1887344,2300000,65714,1,35,2018-07-24,2297,281,3,1943,Solna
1956,https://www.booli.se/annons/3183378,2550000,62195,1.5,41,2018-07-19,2372,473,3,1973,Solna
1957,https://www.booli.se/annons/3189942,4800000,48485,4,99,2018-07-18,4809,700,3,2013,Solna
1958,https://www.booli.se/annons/3119007,2680000,62326,2,43,2018-07-14,2912,200,1,2015,Solna
1959,https://www.booli.se/annons/3185026,4700000,71212,2,66,2018-07-11,2125,600,1,1912,Solna
1960,https://www.booli.se/annons/3186478,2730000,44032,2,62,2018-07-09,2502,500,6,1969,Solna
1961,https://www.booli.se/annons/3188997,2600000,48148,2,54,2018-07-07,2671,392,3,1952,Solna
1962,https://www.booli.se/annons/3188605,2790000,55800,2,50,2018-07-06,3189,533,0,2017,Solna
1963,https://www.booli.se/annons/3117491,3500000,61404,2,57,2018-06-28,2966,350,4,1938,Solna
1964,https://www.booli.se/annons/3176088,4000000,50000,3,80,2018-07-05,4346,635,3,2016,Solna
1965,https://www.booli.se/annons/3189317,2280000,76000,1,30,2018-07-05,1799,400,4,1944,Solna
1966,https://www.booli.se/annons/3187706,3530000,46755,3,76,2018-07-05,2679,440,4,1959,Solna
1967,https://www.booli.se/annons/3187657,4200000,52500,3,80,2018-07-05,2874,672,2,1952,Solna
1968,https://www.booli.se/annons/3178877,3900000,54167,3,72,2018-07-05,1890,600,6,1957,Solna
1969,https://www.booli.se/annons/3176071,3400000,59649,2,57,2018-06-29,3278,667,3,2018,Solna
1970,https://www.booli.se/annons/3172289,3135000,68152,2,46,2018-06-26,3144,350,3,2017,Solna
1971,https://www.booli.se/bostad/135837,2530000,51844,2,49,2018-07-05,2441,500,0,,Solna
1972,https://www.booli.se/bostad/171126,2740000,41203,3,67,2018-07-03,3840,600,0,2013,Solna
1973,https://www.booli.se/annons/3118693,4250000,36638,4.5,116,2018-06-25,6436,544,2,1969,Solna
1974,https://www.booli.se/annons/3175188,2490000,73235,1,34,2018-06-25,2215,350,1,1938,Solna
1975,https://www.booli.se/annons/3157539,3950000,44382,3,89,2018-06-24,4497,595,2,2013,Solna
1976,https://www.booli.se/annons/3175425,4850000,50000,4,97,2018-06-20,5005,508,2,1968,Solna
1977,https://www.booli.se/annons/3160690,6550000,52400,4,125,2018-06-10,5193,851,8,2015,Solna
1978,https://www.booli.se/annons/3144231,3450000,45695,3,76,2018-06-14,2752,3000,6,1965,Solna
1979,https://www.booli.se/annons/3157966,4120000,53506,3,77,2018-06-12,4212,400,3,2003,Solna
1980,https://www.booli.se/annons/3157966,4120000,53506,3,77,2018-06-12,4212,400,3,2003,Solna
1981,https://www.booli.se/annons/3157822,4650000,46970,4,99,2018-05-31,4832,550,4,1985,Solna
1982,https://www.booli.se/annons/3165865,2680000,72432,2,37,2018-06-12,2662,610,3,2015,Solna
1983,https://www.booli.se/annons/3159889,3080000,58113,2,53,2018-06-11,3106,458,4,1946,Solna
1984,https://www.booli.se/annons/3169422,3400000,56667,2,60,2018-06-08,3250,376,0,2015,Solna
1985,https://www.booli.se/annons/3169135,4375000,55732,3,79,2018-06-07,4582,1144,2,2006,Solna
1986,https://www.booli.se/annons/3173230,2600000,58427,1.5,45,2018-06-01,1503,705,3,1966,Solna
1987,https://www.booli.se/annons/3165069,3675000,50000,3,74,2018-06-05,3694,617,7,1964,Solna
1988,https://www.booli.se/annons/3138547,3995000,59627,2,67,2018-06-04,2784,510,10,2014,Solna
1989,https://www.booli.se/annons/3110388,4600000,51111,3,90,2018-04-28,5975,538,2,2004,Solna
1990,https://www.booli.se/annons/3157538,2895000,59082,2,49,2018-06-04,3211,542,1,2017,Solna
1991,https://www.booli.se/annons/3150904,2530000,56222,2,45,2018-05-31,2263,375,0,1954,Solna
1992,https://www.booli.se/annons/3150904,2530000,56222,2,45,2018-05-31,2263,375,0,1954,Solna
1993,https://www.booli.se/annons/3023073,4100000,51899,3,79,2018-05-31,4443,120,2,2017,Solna
1994,https://www.booli.se/annons/3156542,3850000,66379,2,58,2018-05-29,3163,546,6,1964,Solna
1995,https://www.booli.se/annons/3141950,4200000,50602,4,83,2018-05-25,2899,405,1,1959,Solna
1996,https://www.booli.se/annons/3139632,2820000,46230,2,61,2018-05-25,2988,540,1,1965,Solna
1997,https://www.booli.se/annons/3152868,3850000,44253,3,87,2018-05-24,3345,600,5,1957,Solna
1998,https://www.booli.se/annons/3150285,3015000,36949,3,82,2018-05-24,3856,967,3,1966,Solna
1999,https://www.booli.se/annons/3142151,3500000,46358,3,76,2018-05-22,3184,541,1,1960,Solna
2000,https://www.booli.se/annons/2401231,5600000,55721,4,101,2018-05-22,5762,1059,6,1969,Solna
2001,https://www.booli.se/annons/3133092,2220000,50455,1,44,2018-05-22,2706,275,2,1969,Solna
2002,https://www.booli.se/annons/3034137,3000000,46875,3,64,2018-05-21,3162,450,2,1966,Solna
2003,https://www.booli.se/annons/3139165,3100000,49206,2,63,2018-05-18,3291,350,5,1988,Solna
2004,https://www.booli.se/annons/3146954,2650000,43443,2,61,2018-05-17,3321,438,2,1957,Solna
2005,https://www.booli.se/annons/3137897,2900000,61702,2,47,2018-05-15,2524,292,4,2016,Solna
2006,https://www.booli.se/annons/3091021,5400000,62428,4,87,2018-02-28,5358,410,0,2006,Solna
2007,https://www.booli.se/annons/3094907,2525000,64744,2,39,2018-03-16,2990,400,2,2006,Solna
