,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
192,https://www.booli.se/annons/1752400,2600000,46429,2,56,2014-10-23,2715,414,2,1959,Bergshamra
193,https://www.booli.se/annons/1745575,5000000,49020,4,102,2014-10-16,4022,500,3,1990,Bergshamra
194,https://www.booli.se/annons/1740824,4020000,42094,4,96,2014-10-13,4425,856,5,1985,Bergshamra
195,https://www.booli.se/annons/1744198,2600000,46429,2,56,2014-10-08,2715,438,2,1959,Bergshamra
196,https://www.booli.se/annons/1731113,4000000,42553,4,94,2014-09-26,4504,438,2,1959,Bergshamra
197,https://www.booli.se/annons/1726647,2350000,31126,3,76,2014-09-20,4135,263,2,1955,Bergshamra
198,https://www.booli.se/annons/1723603,5495000,40256,5,137,2014-09-18,5454,825,0,1990,Bergshamra
199,https://www.booli.se/annons/1730036,3935000,53537,3,74,2014-09-18,2884,651,3,1990,Bergshamra
200,https://www.booli.se/annons/1720529,2010000,63810,1,32,2014-09-12,1449,250,3,1960,Bergshamra
201,https://www.booli.se/annons/1710912,2740000,45667,2,60,2014-09-04,3041,458,9,1961,Bergshamra
202,https://www.booli.se/annons/1725072,3200000,49844,2.5,64,2014-09-03,2975,350,5,1985,Bergshamra
203,https://www.booli.se/annons/1712852,3625000,42151,3,86,2014-08-31,4062,715,1,1987,Bergshamra
204,https://www.booli.se/annons/1701865,2500000,43478,2,58,2014-08-13,2086,350,4,1959,Bergshamra
205,https://www.booli.se/annons/1699642,3095000,36199,4,86,2014-08-11,3993,744,0,1960,Bergshamra
